Segment,Brand,Collection,commodity_code,commodity_group,secondary_salesrep_name,primary_fullname,cust_store_id,cust_id,cust_name,fabric_content,final_subbrand,first_season,Garment Type,style_status,style_id,Color,Color Type,style_description,alternate_style_description
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Scooter,Discontinued,65320,RBLK,Solid,Pleat Front Scooter,Pleat Frt Scooter
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Scooter,Discontinued,65320,RKAK,Solid,Pleat Front Scooter,Pleat Frt Scooter
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Scooter,Discontinued,65320,RNVY,Solid,Pleat Front Scooter,Pleat Frt Scooter
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Shorts,Discontinued,62072,RBLK,Solid,Real School Girls Low Rise Short,Girls Short
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Shorts,Discontinued,62073,RKAK,Solid,Girls Short,Girls Short
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Shorts,Discontinued,62073,RNVY,Solid,Girls Short,Girls Short
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Shorts,Discontinued,62074,RKAK,Solid,Junior Short,Junior Short
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Shorts,Discontinued,62074,RNVY,Solid,Junior Short,Junior Short
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Shorts,Discontinued,62362,RBLK,Solid,Real School Boys Flat Front Short,Boys Short
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Shorts,Discontinued,62363,RBLK,Solid,Real School Boys Husky Flat Front  Short,Boys Short
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Shorts,Discontinued,62364,RBLK,Solid,Real School Men's Flat Front Short,Men's Short
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,98% Cotton / 2% Spandex Twill,Real School,2018 January (Spring 2018),Pant,Discontinued,60242A,RNVY,Solid,REAL SCHOOL Boys Stretch Skinny Pant,Boys Skinny Pant
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,98% Cotton / 2% Spandex Twill,Real School,2018 January (Spring 2018),Pant,Reorderable,61332A,RNVY,Solid,Girls 5-Pocket Stretch Skinny Pant,Girls Skinny Pant
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,98% Cotton / 2% Spandex Twill,Real School,2020 January (Spring 2020),Pant,Discontinued,60000,RBLK,Solid,Everybody Pull-on Jogger Pant,Everybody Jogger
