Category,wm_week,WM Year,WM Weeks,WM Month,WM Month Nbr,upc, net unit sales,net retail sales
WM.com Exclusive,201901,2019,1,1 February,,72484143746,4,90
WM.com Exclusive,201901,2019,1,1 February,,72484143747,1,22
WM.com Exclusive,201901,2019,1,1 February,,72484143860,1,22
WM.com Exclusive,201901,2019,1,1 February,,72484143861,2,45
WM.com Exclusive,201901,2019,1,1 February,,72484143870,1,22
WM.com Exclusive,201901,2019,1,1 February,,72484143871,0,0
WM.com Exclusive,201901,2019,1,1 February,,72484143872,6,135
WM.com Exclusive,201901,2019,1,1 February,,72484144361,3,67
WM.com Exclusive,201901,2019,1,1 February,,72484144540,3,67
Other,201901,2019,1,1 February,,72484144649,9,170
Other,201901,2019,1,1 February,,72484144655,6,90
Rayon,201901,2019,1,1 February,,72484144658,9,170
Rayon,201901,2019,1,1 February,,72484144659,24,452
Rayon,201901,2019,1,1 February,,72484144664,4,75
Other,201901,2019,1,1 February,,72484144665,6,90
Rayon,201901,2019,1,1 February,,72484144667,7,132
Rayon,201901,2019,1,1 February,,72484144674,11,207
Other,201901,2019,1,1 February,,72484147681,4,75
Rayon,201901,2019,1,1 February,,72484147687,1,19
Other,201901,2019,1,1 February,,72484148263,1,19
Rayon,201901,2019,1,1 February,,72484148939,12,226
Rayon,201901,2019,1,1 February,,72484149142,21,396
Rayon,201901,2019,1,1 February,,72484149557,3,57
Rayon,201901,2019,1,1 February,,72484149558,9,170
Rayon,201901,2019,1,1 February,,72484149563,3,57
Rayon,201901,2019,1,1 February,,72484149828,57,1074
Rayon,201901,2019,1,1 February,,72484149829,40,754
Rayon,201901,2019,1,1 February,,72484149830,39,735
Rayon,201901,2019,1,1 February,,72484149946,17,320
Rayon,201901,2019,1,1 February,,72484149953,11,207
Rayon,201901,2019,1,1 February,,72484149954,5,94
Rayon,201901,2019,1,1 February,,72484149955,10,188
Rayon,201901,2019,1,1 February,,72484149956,5,94
Rayon,201901,2019,1,1 February,,72484149957,13,245
Rayon,201901,2019,1,1 February,,72484149958,11,207
Rayon,201901,2019,1,1 February,,72484149959,10,188
Rayon,201901,2019,1,1 February,,72484149960,10,188
Rayon,201901,2019,1,1 February,,72484151636,8,151
Rayon,201901,2019,1,1 February,,72484151726,30,565
Rayon,201901,2019,1,1 February,,72484151732,26,490
Rayon,201901,2019,1,1 February,,72484151735,25,471
Rayon,201901,2019,1,1 February,,72484151736,19,358
Rayon,201901,2019,1,1 February,,72484151737,14,264
Rayon,201901,2019,1,1 February,,72484151738,14,264
Rayon,201901,2019,1,1 February,,72484151739,1,19
Rayon,201901,2019,1,1 February,,72484151740,20,377
Rayon,201901,2019,1,1 February,,72484151744,17,320
Rayon,201901,2019,1,1 February,,72484151750,30,565
Rayon,201901,2019,1,1 February,,72484151756,24,452
Rayon,201901,2019,1,1 February,,72484151759,24,452
Rayon,201901,2019,1,1 February,,72484151760,20,377
Rayon,201901,2019,1,1 February,,72484151761,12,226
Rayon,201901,2019,1,1 February,,72484151762,11,207
Rayon,201901,2019,1,1 February,,72484151764,28,528
Rayon,201901,2019,1,1 February,,72484151766,10,188
Rayon,201901,2019,1,1 February,,72484151767,5,94
Rayon,201901,2019,1,1 February,,72484151768,48,904
Rayon,201901,2019,1,1 February,,72484151769,23,433
Rayon,201901,2019,1,1 February,,72484151770,19,358
Rayon,201901,2019,1,1 February,,72484151771,25,471
Rayon,201901,2019,1,1 February,,72484151772,11,207
Rayon,201901,2019,1,1 February,,72484151773,40,754
Rayon,201901,2019,1,1 February,,72484151774,33,622
Rayon,201901,2019,1,1 February,,72484151775,19,358
Rayon,201901,2019,1,1 February,,72484151776,19,358
Rayon,201901,2019,1,1 February,,72484151777,11,207
Rayon,201901,2019,1,1 February,,72484151778,28,528
Rayon,201901,2019,1,1 February,,72484151779,17,320
Rayon,201901,2019,1,1 February,,72484151780,16,301
Rayon,201901,2019,1,1 February,,72484151784,14,264
Rayon,201901,2019,1,1 February,,72484151786,7,132
Rayon,201901,2019,1,1 February,,72484151787,10,188
Rayon,201901,2019,1,1 February,,72484151788,4,75
Rayon,201901,2019,1,1 February,,72484151789,12,226
Rayon,201901,2019,1,1 February,,72484151790,16,301
Rayon,201901,2019,1,1 February,,72484151791,16,301
